rank,variant,mean_val_color,std_val_color,min_val_color,max_val_color
1,RGB,0.7701704545454545,0.16225147874633347,0.4346590909090909,0.921875
2,LAB,0.7244318181818182,0.182499021186854,0.3664772727272727,0.9119318181818182
3,Grayscale,0.6967803030303031,0.15687878531792718,0.4048295454545454,0.8451704545454546
4,EdgeShift px3,0.6697916666666667,0.20308285658031988,0.2727272727272727,0.8678977272727273
5,EdgeShift px2,0.6695075757575758,0.20172099449218578,0.2684659090909091,0.8764204545454546
6,EdgeShift px1,0.6525568181818181,0.19748221491215753,0.2727272727272727,0.8465909090909091
