variant,metric,accuracy
EdgeShift px1,Color,0.9630681818181818
EdgeShift px2,Color,0.9673295454545454
EdgeShift px3,Color,0.9673295454545454
Grayscale,Color,0.9701704545454546
LAB,Color,0.9872159090909091
RGB,Color,0.9900568181818182
EdgeShift px1,Grayscale,0.7002840909090909
EdgeShift px2,Grayscale,0.6789772727272727
EdgeShift px3,Grayscale,0.7173295454545454
Grayscale,Grayscale,0.9701704545454546
LAB,Grayscale,0.8267045454545454
RGB,Grayscale,0.8465909090909091
